instruction,input,output,responses
Answer this question truthfully,What is (are) ornithine transcarbamylase deficiency ?,"Ornithine transcarbamylase deficiency is an inherited disorder that causes ammonia to accumulate in the blood. Ammonia, which is formed when proteins are broken down in the body, is toxic if the levels become too high. The nervous system is especially sensitive to the effects of excess ammonia.  Ornithine transcarbamylase deficiency often becomes evident in the first few days of life. An infant with ornithine transcarbamylase deficiency may be lacking in energy (lethargic) or unwilling to eat, and have poorly-controlled breathing rate or body temperature. Some babies with this disorder may experience seizures or unusual body movements, or go into a coma. Complications from ornithine transcarbamylase deficiency may include developmental delay and intellectual disability. Progressive liver damage, skin lesions, and brittle hair may also be seen.  In some affected individuals, signs and symptoms of ornithine transcarbamylase may be less severe, and may not appear until later in life.","*Ornithine transcarbamylase (OTC) deficiency is an X-linked recessive disorder caused by mutations in the OTC gene. The OTC gene provides instructions for making an enzyme called ornithine transcarbamylase. This enzyme is responsible for the breakdown of nitrogen-containing compounds (i.e., amino acids) and is present in many organs and tissues in the body, although most of the activity for the enzyme is located in the liver. The enzyme plays a key role in the urea cycle, which removes excess nitrogen from the body by converting it into a compound called urea.
* Ammonia levels can rise to toxic levels in the blood and brain (hyperammonemia). Excess ammonia can damage the central nervous system and other organs (encephalopathy). These effects can also result in seizures, decreased muscle tone, coma, and death.
* The symptoms of ornithine transcarbamylase deficiency can vary depending on the age of onset and the mutation. For example, infants with hyperammonemia are often ill within 3 or 4 days of birth and have severe complications that lead to coma and death within a week. However, there are some people with this condition who do not develop hyperammonemia until later in life and can live into adulthood with no"
Answer this question truthfully,What is (are) globozoospermia ?,"Globozoospermia is a condition that affects only males. It is characterized by abnormal sperm and leads to an inability to father biological children (infertility).  Normal sperm cells have an oval-shaped head with a cap-like covering called the acrosome. The acrosome contains enzymes that break down the outer membrane of an egg cell, allowing the sperm to fertilize the egg. The sperm cells of males with globozoospermia, however, have a round head and no acrosome. The abnormal sperm are unable to fertilize an egg cell, leading to infertility."," It is a condition characterized by the formation of round sperm cells in the testes (azoospermia). This condition is rare. Some cases have been linked to mutations in genes that normally play a vital role in sperm maturation and function, including mutations in the gene that codes for the enzyme PDE4D2 and mutations in the gene encoding the protein ODF1. It may also be due to the presence of an underlying condition, such as diabetes or liver"
Answer this question truthfully,What is (are) hypochondrogenesis ?,"Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis.  Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not harden (ossify) properly. The face appears flat and oval-shaped, with widely spaced eyes, a small chin, and, in some cases, an opening in the roof of the mouth called a cleft palate. Individuals with hypochondrogenesis have an enlarged abdomen and may have a condition called hydrops fetalis in which excess fluid builds up in the body before birth.  As a result of these serious health problems, some affected fetuses do not survive to term. Infants born with hypochondrogenesis usually die at birth or shortly thereafter from respiratory failure. Babies who live past the newborn period are usually reclassified as having spondyloepiphyseal dysplasia congenita, a related but milder disorder that similarly affects bone development.","Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis.  Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not develop normally. The bones of the chest wall (rib cage) also develop abnormally. As a result, the bones fail to provide adequate support for the chest and abdominal areas. Affected infants usually do not grow properly, and they die shortly after birth.

"
Answer this question truthfully,What is (are) Macular Degeneration ?,"Macular degeneration, or age-related macular degeneration (AMD), is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp, central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.     AMD affects the macula, the part of the eye that allows you to see fine detail. It does not hurt, but it causes cells in the macula to die. There are two types: wet and dry. Wet AMD happens when abnormal blood vessels grow under the macula. These new blood vessels often leak blood and fluid. Wet AMD damages the macula quickly. Blurred vision is a common early symptom. Dry AMD happens when the light-sensitive cells in the macula slowly break down. Your gradually lose your central vision. A common early symptom is that straight lines appear crooked.    Regular comprehensive eye exams can detect macular degeneration before the disease causes vision loss. Treatment can slow vision loss. It does not restore vision.    NIH: National Eye Institute",Age-related macular degeneration is a leading cause of blindness in the elderly. It is characterized by a loss of the central and detailed vision. It is one of the leading causes of blindness in the elderly. The central vision loss in the macula is a leading cause of blindness among the elderly.
Answer this question truthfully,What is (are) familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis is a disorder in which the immune system produces too many activated immune cells (lymphocytes) called T cells, natural killer cells, B cells, and macrophages (histiocytes). Excessive amounts of immune system proteins called cytokines are also produced. This overactivation of the immune system causes fever and damages the liver and spleen, resulting in enlargement of these organs.  Familial hemophagocytic lymphohistiocytosis also destroys blood-producing cells in the bone marrow, a process called hemophagocytosis. As a result, affected individuals have low numbers of red blood cells (anemia) and a reduction in the number of blood cells involved in clotting (platelets). A reduction in platelets may cause easy bruising and abnormal bleeding.  The brain may also be affected in familial hemophagocytic lymphohistiocytosis. As a result, affected individuals may experience irritability, delayed closure of the bones of the skull in infants, neck stiffness, abnormal muscle tone, impaired muscle coordination, paralysis, blindness, seizures, and coma. In addition to neurological problems, familial hemophagocytic lymphohistiocytosis can cause abnormalities of the heart, kidneys, and other organs and tissues. Affected individuals also have an increased risk of developing cancers of blood-forming cells (leukemia and lymphoma).  Signs and symptoms of familial hemophagocytic lymphohistiocytosis usually become apparent during infancy, although occasionally they appear later in life. They usually occur when the immune system launches an exaggerated response to an infection, but may also occur in the absence of infection. Without treatment, most people with familial hemophagocytic lymphohistiocytosis survive only a few months.","The condition begins in fetal or early childhood life. The first clinical symptoms usually appear in the first or second month of life. The clinical manifestations of the HLH syndrome can include the following: 1) Fever 2) Splenomegaly 3) Cytopenia 4) Hyperferritinemia 5) Hypofibrinogenemia 6) Hemophagocytosis in bone marrow or spleen 6) Hypertriglyceridemia (> 260 mg/dL) 7) Hypofibrinogenemia (< 155 mg/dL)
A person has a deficiency of NK cells, the first line of defense against viruses. NK cells are a type of white blood cell that normally circulates in the blood. In addition, there is also impairment of the macrophages, the cells that are normally responsible for removing dead and damaged cells. Thus, there is no first or second line of defense. The body is defenseless against viruses, bacteria or fungi and these agents quickly multiply and take over the body.
A condition that is most often seen in children is X-linked familial macrocheiria. The condition is known as hemophagocytic lymphohistiocytosis"
Answer this question truthfully,What is (are) X-linked adrenoleukodystrophy ?,"X-linked adrenoleukodystrophy is a genetic disorder that occurs primarily in males. It mainly affects the nervous system and the adrenal glands, which are small glands located on top of each kidney. In this disorder, the fatty covering (myelin) that insulates nerves in the brain and spinal cord is prone to deterioration (demyelination), which reduces the ability of the nerves to relay information to the brain. In addition, damage to the outer layer of the adrenal glands (adrenal cortex) causes a shortage of certain hormones (adrenocortical insufficiency). Adrenocortical insufficiency may cause weakness, weight loss, skin changes, vomiting, and coma.  There are three distinct types of X-linked adrenoleukodystrophy: a childhood cerebral form, an adrenomyeloneuropathy type, and a form called Addison disease only.  Children with the cerebral form of X-linked adrenoleukodystrophy experience learning and behavioral problems that usually begin between the ages of 4 and 10. Over time the symptoms worsen, and these children may have difficulty reading, writing, understanding speech, and comprehending written material. Additional signs and symptoms of the cerebral form include aggressive behavior, vision problems, difficulty swallowing, poor coordination, and impaired adrenal gland function. The rate at which this disorder progresses is variable but can be extremely rapid, often leading to total disability within a few years. The life expectancy of individuals with this type depends on the severity of the signs and symptoms and how quickly the disorder progresses. Individuals with the cerebral form of X-linked adrenoleukodystrophy usually survive only a few years after symptoms begin but may survive longer with intensive medical support.  Signs and symptoms of the adrenomyeloneuropathy type appear between early adulthood and middle age. Affected individuals develop progressive stiffness and weakness in their legs (paraparesis), experience urinary and genital tract disorders, and often show changes in behavior and thinking ability. Most people with the adrenomyeloneuropathy type also have adrenocortical insufficiency. In some severely affected individuals, damage to the brain and nervous system can lead to early death.  People with X-linked adrenoleukodystrophy whose only symptom is adrenocortical insufficiency are said to have the Addison disease only form. In these individuals, adrenocortical insufficiency can begin anytime between childhood and adulthood. However, most affected individuals develop the additional features of the adrenomyeloneuropathy type by the time they reach middle age. The life expectancy of individuals with this form depends on the severity of the signs and symptoms, but typically this is the mildest of the three types.  Rarely, individuals with X-linked adrenoleukodystrophy develop multiple features of the disorder in adolescence or early adulthood. In addition to adrenocortical insufficiency, these individuals usually have psychiatric disorders and a loss of intellectual function (dementia). It is unclear whether these individuals have a distinct form of the condition or a variation of one of the previously described types.  For reasons that are unclear, different forms of X-linked adrenoleukodystrophy can be seen in affected individuals within the same family.","X-linked adrenoleukodystrophy is a rare disorder that affects many parts of the body. It usually, but not always, causes physical symptoms to develop over a period of years. Symptoms of the condition include weakness, learning or developmental delays, speech difficulties, unsteady walking and seizures (epileptic fits). Affected boys begin to show signs of the disease by age 10 or later. It is caused by mutations in the ABCD1 gene. These changes reduce the transport of very long chain fatty acids (VLCFA) from the blood into cells where they are needed. In males, who have only one X chromosome, the gene mutation causes symptoms of X-linked adrenoleukodystrophy. X-linked adrenoleukodystrophy occurs in 1 in 50,000 to 100,000 males. It affects about 1 in 100,000 females. The condition can be diagnosed with a simple blood test. In some individuals the disease is fatal by early adulthood. In others, the symptoms may be mild enough that they are unaware they have the condition, or may have no symptoms at all.


"
Answer this question truthfully,What is (are) adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,"Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons) covered by a substance called myelin that insulates and protects them. The axons extend from nerve cells (neurons) and transmit nerve impulses throughout the body. Areas of damage to this brain tissue (white matter lesions) can be seen with magnetic resonance imaging (MRI). Another feature of ALSP is swellings called spheroids in the axons of the brain, which are a sign of axon damage. Also common in ALSP are abnormally pigmented glial cells. Glial cells are specialized brain cells that protect and maintain neurons. Damage to myelin and neurons is thought to contribute to many of the neurological signs and symptoms in people with ALSP.  Symptoms of ALSP usually begin in a person's forties and worsen over time. Personality changes, including depression and a loss of social inhibitions, are among the earliest symptoms of ALSP. Affected individuals may develop memory loss and loss of executive function, which is the ability to plan and implement actions and develop problem-solving strategies. Loss of this function impairs skills such as impulse control, self-monitoring, and focusing attention appropriately. Some people with ALSP have mild seizures, usually only when the condition begins. As ALSP progresses, it causes a severe decline in thinking and reasoning abilities (dementia).  Over time, motor skills are affected, and people with ALSP may have difficulty walking. Many develop a pattern of movement abnormalities known as parkinsonism, which includes unusually slow movement (bradykinesia), involuntary trembling (tremor), and muscle stiffness (rigidity). The pattern of cognitive and motor problems are variable, even among individuals in the same family, although almost all affected individuals ultimately become unable to walk, speak, and care for themselves.  ALSP was previously thought to be two separate conditions, hereditary diffuse leukoencephalopathy with spheroids (HDLS) and familial pigmentary orthochromatic leukodystrophy (POLD), both of which cause very similar white matter damage and cognitive and movement problems. POLD was thought to be distinguished by the presence of pigmented glial cells and an absence of spheroids; however, people with HDLS can have pigmented cells, too, and people with POLD can have spheroids. HDLS and POLD are now considered to be part of the same disease spectrum, which researchers have recommended calling ALSP.","Adult onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons) that transmit information between different regions of the brain and between the brain and other parts of the nervous system. Axons are wrapped by a substance called myelin, which facilitates the transmission of information. Leukoencephalopathies alter the properties of white matter. The leukoencephalopathies in ALSP are likely due to a disruption to the structure and integrity of myelin. In ALSP, individuals develop symptoms after the age of 30 years old. Common signs and symptoms include personality changes, confusion, difficulties in organizing and planning information, and changes in movement. In some cases, vision and hearing, speech and swallowing, and urination may also be affected. Individuals with ALSP may also experience pain, stiffness, and weakness in the limbs. These features affect people differently. For example, individuals with ALSP might be more sensitive to touch. While some people with ALSP exhibit significant neurological problems, others can have minimal or no symptoms"
Answer this question truthfully,What is (are) hypomyelination and congenital cataract ?,"Hypomyelination and congenital cataract is an inherited condition that affects the nervous system and the eyes. This disease is one of a group of genetic disorders called leukoencephalopathies. Leukoencephalopathies involve abnormalities of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses. Hypomyelination and congenital cataract is caused by a reduced ability to form myelin (hypomyelination). Additionally, people with this disorder are typically born with a clouding of the lens (cataract) in both eyes.  People with this condition usually have normal development throughout the first year of life. Development slows around the age of 1. Most affected children learn to walk between the ages of 1 and 2, although they usually need some type of support. Over time they experience muscle weakness and wasting (atrophy) in their legs, and many affected people eventually require wheelchair assistance. Weakness in the muscles of the trunk and a progressive abnormal curvature of the spine (scoliosis) further impair walking in some individuals. Most people with hypomyelination and congenital cataract have reduced sensation in their arms and legs (peripheral neuropathy). In addition, affected individuals typically have speech difficulties (dysarthria) and mild to moderate intellectual disability.","The nervous system is a complex network of cells and tissues that carry messages with the aid of electrical and chemical signals. The nervous system coordinates and controls bodily functions, such as breathing, heart rate, digesting food, and moving the muscles. It allows us to hear, feel, taste, smell, and see. The body contains two main parts of the nervous system: the spinal cord and the brain. Hypomyelination and congenital cataract is one type of leukoencephalopathy.Leukoencephalopathies are a group of genetic disorders involving abnormalities of the white matter, which is composed of nerve fibers and myelin. Myelin, a fatty material that surrounds nerves and protects them, acts as insulation for the nervous system. When myelin is damaged or absent, the signals that travel along nerve cells are disrupted, affecting coordination, the ability to walk, and other motor functions. Symptoms vary from mild to severe depending on the condition involved, with some leukoencephalopathies having early signs, while others first become evident later in life."
Answer this question truthfully,What is (are) Craniopharyngioma ?,"A craniopharyngioma is a slow-growing benign tumor that develops near the pituitary gland (a small endocrine gland at the base of the brain) and the hypothalamus (a small cone-shaped organ connected to the pituitary gland by nerves). This tumor most commonly affects children between 5 and 10 years of age; however, adults can sometimes be affected. Craniopharyngiomas are thought to arise from remnants of the craniopharyngeal duct and/or Rathke cleft or from metaplasia (abnormal transformation of cells) of squamous epithelial cell remnants of the stomadeum.[orphanet] Craniopharyngioma is treated with surgery alone or by surgery followed by radiation.","Craniopharyngioma (Craniofaryngioma) is a benign, often slow-growing type of tumor that forms around the brain and spinal cord. It is named for the pituitary gland where these tumors are usually found, called the optic chiasm. The tumors are often associated with other brain disorders such as encephalitis, encephalopathy, and meningiomas. The most common type of Craniopharyngioma is the one found most often in children between the ages of 2 and 19 years, although it can occur at any age.
"
Answer this question truthfully,What is (are) Tropical Spastic Paraparesis ?,"For several decades the term tropical spastic paraparesis (TSP) has been used to describe a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world and causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an important association was established between the human retrovirus  human T-cell lymphotrophic virus type 1 (also known as HTLV-1)  and TSP. TSP is now called HTLV-1 associated myelopathy/ tropical spastic paraparesis or HAM/TSP. The HTLV-1 retrovirus is thought to cause at least 80 percent of the cases of HAM/TSP by impairing the immune system. In addition to neurological symptoms of weakness and muscle stiffness or spasms, in rare cases individuals with HAM/TSP also exhibit uveitis (inflammation of the uveal tract of the eye), arthritis (inflammation of one or more joints), pulmonary lymphocytic alveolitis (inflammation of the lung), polymyositis (an inflammatory muscle disease), keratoconjunctivitis sicca (persistent dryness of the cornea and conjunctiva), and infectious dermatitis (inflammation of the skin). The other serious complication of HTLV-1 infection is the development of adult T-cell leukemia or lymphoma. Nervous system and blood-related complications occur only in a very small proportion of infected individuals, while most remain largely without symptoms throughout their lives.
                
The HTLV-1 virus is transmitted person-to-person via infected cells: breast-feeding by mothers who are seropositive (in other words, have high levels of virus antibodies in their blood), sharing infected needles during intravenous drug use, or having sexual relations with a seropositive partner. Less than 2 percent of HTLV-1 seropositive carriers will become HAM/TSP patients.","For several decades the term tropical spastic paraparesis (TSP) has been used to describe a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world and causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an association between HIV infection and TSP was suspected. The clinical features of patients with TSP are remarkably similar to patients with a condition known as HIV-associated myelopathy that develops in people with the human immunodeficiency virus (HIV), the virus that causes the acquired immune deficiency syndrome (AIDS). The term HIV-associated myelopathy (HAM) was coined in the early 1990s following a description of the disease by researchers at the Mayo Clinic who had performed spinal cord biopsies in selected patients with TSP and HAM. The biopsies confirmed that both diseases have the same underlying pathology: demyelination of nerve cells and damage to the spinal cord that leads to symptoms characteristic of the classic presentation of TSP. TSP is now considered a severe form of progressive HIV-related myelopathy in patients with AIDS. A detailed discussion of the pathology of the spinal cord and the disease course of TSP and its variants can be found"
