instruction,input,output,response,BLEU,GLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,Precision,Recall,Token_F1,BERTScore_P,BERTScore_R,BERTScore_F1,SBERT_Cosine_Similarity
Answer this question truthfully,What is (are) ornithine transcarbamylase deficiency ?,"Ornithine transcarbamylase deficiency is an inherited disorder that causes ammonia to accumulate in the blood. Ammonia, which is formed when proteins are broken down in the body, is toxic if the levels become too high. The nervous system is especially sensitive to the effects of excess ammonia.  Ornithine transcarbamylase deficiency often becomes evident in the first few days of life. An infant with ornithine transcarbamylase deficiency may be lacking in energy (lethargic) or unwilling to eat, and have poorly-controlled breathing rate or body temperature. Some babies with this disorder may experience seizures or unusual body movements, or go into a coma. Complications from ornithine transcarbamylase deficiency may include developmental delay and intellectual disability. Progressive liver damage, skin lesions, and brittle hair may also be seen.  In some affected individuals, signs and symptoms of ornithine transcarbamylase may be less severe, and may not appear until later in life.","Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine transcarbamylase deficiency is a disorder that affects the metabolism of amino acids, which are the building blocks of proteins. Ornithine trans",0.02845662790709787,0.0906801007556675,0.19672130884574043,0.05095541169540357,0.14754098097688798,0.13928150958562413,0.255,0.3072289156626506,0.2786885245901639,0.8421382308006287,0.8272017240524292,0.8346031904220581,0.6660273671150208
Answer this question truthfully,What is (are) globozoospermia ?,"Globozoospermia is a condition that affects only males. It is characterized by abnormal sperm and leads to an inability to father biological children (infertility).  Normal sperm cells have an oval-shaped head with a cap-like covering called the acrosome. The acrosome contains enzymes that break down the outer membrane of an egg cell, allowing the sperm to fertilize the egg. The sperm cells of males with globozoospermia, however, have a round head and no acrosome. The abnormal sperm are unable to fertilize an egg cell, leading to infertility.",Globozoospermia is a rare condition characterized by round-headed sperm (spermatozoa) and infertility. Infertility is a general term that refers to the inability to conceive a child. Infertility is a general term that refers to the inability to conceive a child. ,0.013661435169692076,0.08461538461538462,0.34210525893698057,0.07547169441082255,0.34210525893698057,0.1449538908313427,0.6,0.2727272727272727,0.37499999999999994,0.8850357532501221,0.8549573421478271,0.8697365522384644,0.8571561574935913
Answer this question truthfully,What is (are) hypochondrogenesis ?,"Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis.  Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not harden (ossify) properly. The face appears flat and oval-shaped, with widely spaced eyes, a small chin, and, in some cases, an opening in the roof of the mouth called a cleft palate. Individuals with hypochondrogenesis have an enlarged abdomen and may have a condition called hydrops fetalis in which excess fluid builds up in the body before birth.  As a result of these serious health problems, some affected fetuses do not survive to term. Infants born with hypochondrogenesis usually die at birth or shortly thereafter from respiratory failure. Babies who live past the newborn period are usually reclassified as having spondyloepiphyseal dysplasia congenita, a related but milder disorder that similarly affects bone development.","Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis. Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis develop abnormally, resulting in a curved spine (scoliosis) and a flattened pelvis. Affected individuals have a short neck, a small chin, and a large head. The head is disproportionately large because the skull is normal size but the spine is abnormally short. Individuals with hypochondrogenesis have a life expectancy of only a few years. The cause of hypochondrogenesis is unknown.",0.35165808173969315,0.42555831265508687,0.48677248219590724,0.441176465800173,0.48677248219590724,0.38741702044156856,0.7482517482517482,0.5270935960591133,0.6184971098265896,0.9422759413719177,0.8910994529724121,0.915973424911499,0.8368235230445862
Answer this question truthfully,What is (are) Macular Degeneration ?,"Macular degeneration, or age-related macular degeneration (AMD), is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp, central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.     AMD affects the macula, the part of the eye that allows you to see fine detail. It does not hurt, but it causes cells in the macula to die. There are two types: wet and dry. Wet AMD happens when abnormal blood vessels grow under the macula. These new blood vessels often leak blood and fluid. Wet AMD damages the macula quickly. Blurred vision is a common early symptom. Dry AMD happens when the light-sensitive cells in the macula slowly break down. Your gradually lose your central vision. A common early symptom is that straight lines appear crooked.    Regular comprehensive eye exams can detect macular degeneration before the disease causes vision loss. Treatment can slow vision loss. It does not restore vision.    NIH: National Eye Institute","Macular degeneration is a disease of the retina that affects central vision. It is a leading cause of blindness in older people. It is characterized by a gradual loss of central vision, which may be accompanied by a distortion of straight lines and objects. It is also called age-related macular degeneration (AMD).",0.016107498897656287,0.10358056265984655,0.3150684893000563,0.11167512327037553,0.2876712290260838,0.15315743944636678,0.7288135593220338,0.2182741116751269,0.3359375,0.9141906499862671,0.8463094234466553,0.8789413571357727,0.8324137926101685
Answer this question truthfully,What is (are) familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis is a disorder in which the immune system produces too many activated immune cells (lymphocytes) called T cells, natural killer cells, B cells, and macrophages (histiocytes). Excessive amounts of immune system proteins called cytokines are also produced. This overactivation of the immune system causes fever and damages the liver and spleen, resulting in enlargement of these organs.  Familial hemophagocytic lymphohistiocytosis also destroys blood-producing cells in the bone marrow, a process called hemophagocytosis. As a result, affected individuals have low numbers of red blood cells (anemia) and a reduction in the number of blood cells involved in clotting (platelets). A reduction in platelets may cause easy bruising and abnormal bleeding.  The brain may also be affected in familial hemophagocytic lymphohistiocytosis. As a result, affected individuals may experience irritability, delayed closure of the bones of the skull in infants, neck stiffness, abnormal muscle tone, impaired muscle coordination, paralysis, blindness, seizures, and coma. In addition to neurological problems, familial hemophagocytic lymphohistiocytosis can cause abnormalities of the heart, kidneys, and other organs and tissues. Affected individuals also have an increased risk of developing cancers of blood-forming cells (leukemia and lymphoma).  Signs and symptoms of familial hemophagocytic lymphohistiocytosis usually become apparent during infancy, although occasionally they appear later in life. They usually occur when the immune system launches an exaggerated response to an infection, but may also occur in the absence of infection. Without treatment, most people with familial hemophagocytic lymphohistiocytosis survive only a few months.",Familial hemophagocytic lymphohistiocytosis is an inherited disorder that affects the immune system and causes a severe and life-threatening inflammation of the body's organs and tissues.,3.274240058707522e-05,0.030541012216404886,0.1775147906347817,0.06639003970041843,0.16568047110815448,0.06450015652653279,0.7037037037037037,0.06597222222222222,0.12063492063492064,0.8976619243621826,0.8217750787734985,0.858043909072876,0.6984223127365112
Answer this question truthfully,What is (are) X-linked adrenoleukodystrophy ?,"X-linked adrenoleukodystrophy is a genetic disorder that occurs primarily in males. It mainly affects the nervous system and the adrenal glands, which are small glands located on top of each kidney. In this disorder, the fatty covering (myelin) that insulates nerves in the brain and spinal cord is prone to deterioration (demyelination), which reduces the ability of the nerves to relay information to the brain. In addition, damage to the outer layer of the adrenal glands (adrenal cortex) causes a shortage of certain hormones (adrenocortical insufficiency). Adrenocortical insufficiency may cause weakness, weight loss, skin changes, vomiting, and coma.  There are three distinct types of X-linked adrenoleukodystrophy: a childhood cerebral form, an adrenomyeloneuropathy type, and a form called Addison disease only.  Children with the cerebral form of X-linked adrenoleukodystrophy experience learning and behavioral problems that usually begin between the ages of 4 and 10. Over time the symptoms worsen, and these children may have difficulty reading, writing, understanding speech, and comprehending written material. Additional signs and symptoms of the cerebral form include aggressive behavior, vision problems, difficulty swallowing, poor coordination, and impaired adrenal gland function. The rate at which this disorder progresses is variable but can be extremely rapid, often leading to total disability within a few years. The life expectancy of individuals with this type depends on the severity of the signs and symptoms and how quickly the disorder progresses. Individuals with the cerebral form of X-linked adrenoleukodystrophy usually survive only a few years after symptoms begin but may survive longer with intensive medical support.  Signs and symptoms of the adrenomyeloneuropathy type appear between early adulthood and middle age. Affected individuals develop progressive stiffness and weakness in their legs (paraparesis), experience urinary and genital tract disorders, and often show changes in behavior and thinking ability. Most people with the adrenomyeloneuropathy type also have adrenocortical insufficiency. In some severely affected individuals, damage to the brain and nervous system can lead to early death.  People with X-linked adrenoleukodystrophy whose only symptom is adrenocortical insufficiency are said to have the Addison disease only form. In these individuals, adrenocortical insufficiency can begin anytime between childhood and adulthood. However, most affected individuals develop the additional features of the adrenomyeloneuropathy type by the time they reach middle age. The life expectancy of individuals with this form depends on the severity of the signs and symptoms, but typically this is the mildest of the three types.  Rarely, individuals with X-linked adrenoleukodystrophy develop multiple features of the disorder in adolescence or early adulthood. In addition to adrenocortical insufficiency, these individuals usually have psychiatric disorders and a loss of intellectual function (dementia). It is unclear whether these individuals have a distinct form of the condition or a variation of one of the previously described types.  For reasons that are unclear, different forms of X-linked adrenoleukodystrophy can be seen in affected individuals within the same family.","X-linked adrenoleukodystrophy is an X-linked recessive disorder that is characterized by the accumulation of very long chain fatty acids in the brain and adrenal gland.
",2.7096871929275982e-09,0.014391829155060354,0.11718749836456299,0.03738317647010659,0.101562498364563,0.024177790384180105,0.7307692307692307,0.03518518518518519,0.06713780918727916,0.8858469724655151,0.7895640134811401,0.8349388837814331,0.7472450733184814
Answer this question truthfully,What is (are) adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,"Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons) covered by a substance called myelin that insulates and protects them. The axons extend from nerve cells (neurons) and transmit nerve impulses throughout the body. Areas of damage to this brain tissue (white matter lesions) can be seen with magnetic resonance imaging (MRI). Another feature of ALSP is swellings called spheroids in the axons of the brain, which are a sign of axon damage. Also common in ALSP are abnormally pigmented glial cells. Glial cells are specialized brain cells that protect and maintain neurons. Damage to myelin and neurons is thought to contribute to many of the neurological signs and symptoms in people with ALSP.  Symptoms of ALSP usually begin in a person's forties and worsen over time. Personality changes, including depression and a loss of social inhibitions, are among the earliest symptoms of ALSP. Affected individuals may develop memory loss and loss of executive function, which is the ability to plan and implement actions and develop problem-solving strategies. Loss of this function impairs skills such as impulse control, self-monitoring, and focusing attention appropriately. Some people with ALSP have mild seizures, usually only when the condition begins. As ALSP progresses, it causes a severe decline in thinking and reasoning abilities (dementia).  Over time, motor skills are affected, and people with ALSP may have difficulty walking. Many develop a pattern of movement abnormalities known as parkinsonism, which includes unusually slow movement (bradykinesia), involuntary trembling (tremor), and muscle stiffness (rigidity). The pattern of cognitive and motor problems are variable, even among individuals in the same family, although almost all affected individuals ultimately become unable to walk, speak, and care for themselves.  ALSP was previously thought to be two separate conditions, hereditary diffuse leukoencephalopathy with spheroids (HDLS) and familial pigmentary orthochromatic leukodystrophy (POLD), both of which cause very similar white matter damage and cognitive and movement problems. POLD was thought to be distinguished by the presence of pigmented glial cells and an absence of spheroids; however, people with HDLS can have pigmented cells, too, and people with POLD can have spheroids. HDLS and POLD are now considered to be part of the same disease spectrum, which researchers have recommended calling ALSP.","Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons) and glia (support cells), and its function is to facilitate communication between different parts of the brain. In ALSP, the axons and glia in the white matter become damaged, resulting in neurological symptoms such as difficulty walking, speaking, and swallowing. ALSP is a rare condition, and its exact cause is not fully understood. However, it is believed to be caused by a genetic mutation that affects the production of certain proteins in the brain. Treatment for ALSP is currently limited to supportive care and managing symptoms.",0.05649975264065386,0.15945089757127773,0.3344051406933345,0.20925552947447265,0.3215434043589293,0.1445576398781395,0.7806451612903226,0.25473684210526315,0.3841269841269841,0.9196962118148804,0.850700855255127,0.88385409116745,0.9177436232566833
Answer this question truthfully,What is (are) hypomyelination and congenital cataract ?,"Hypomyelination and congenital cataract is an inherited condition that affects the nervous system and the eyes. This disease is one of a group of genetic disorders called leukoencephalopathies. Leukoencephalopathies involve abnormalities of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses. Hypomyelination and congenital cataract is caused by a reduced ability to form myelin (hypomyelination). Additionally, people with this disorder are typically born with a clouding of the lens (cataract) in both eyes.  People with this condition usually have normal development throughout the first year of life. Development slows around the age of 1. Most affected children learn to walk between the ages of 1 and 2, although they usually need some type of support. Over time they experience muscle weakness and wasting (atrophy) in their legs, and many affected people eventually require wheelchair assistance. Weakness in the muscles of the trunk and a progressive abnormal curvature of the spine (scoliosis) further impair walking in some individuals. Most people with hypomyelination and congenital cataract have reduced sensation in their arms and legs (peripheral neuropathy). In addition, affected individuals typically have speech difficulties (dysarthria) and mild to moderate intellectual disability.",Hypomyelination and congenital cataract is an inherited condition that affects the nervous system and the eyes. This disease is one of a group of genetic disorders called leukoencephalopathies. Leukoencephalopathies involve abnormalities of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin helps nerve fibers conduct electrical impulses. The condition is present at birth. Hypomyelination and congenital cataract is caused by a genetic change (mutation) in the GJC2 gene. This gene provides instructions for making a protein that helps form the myelin sheath. The mutation that causes hypomyelination and congenital cataract changes a single protein building block (amino acid) in the GJC2 gene. The mutation replaces the amino acid arginine with the amino acid histidine. The replacement of this single amino acid leads to a loss of the protein's function and results in the signs and symptoms of the condition.,0.28871801517815326,0.31473684210526315,0.43835615961385294,0.33021806372841883,0.43835615961385294,0.38366395098565304,0.6424242424242425,0.4435146443514644,0.5247524752475248,0.9027001857757568,0.879582941532135,0.8909916281700134,0.8187622427940369
Answer this question truthfully,What is (are) Craniopharyngioma ?,"A craniopharyngioma is a slow-growing benign tumor that develops near the pituitary gland (a small endocrine gland at the base of the brain) and the hypothalamus (a small cone-shaped organ connected to the pituitary gland by nerves). This tumor most commonly affects children between 5 and 10 years of age; however, adults can sometimes be affected. Craniopharyngiomas are thought to arise from remnants of the craniopharyngeal duct and/or Rathke cleft or from metaplasia (abnormal transformation of cells) of squamous epithelial cell remnants of the stomadeum.[orphanet] Craniopharyngioma is treated with surgery alone or by surgery followed by radiation.",Craniopharyngioma is a rare tumor that usually forms in the center of the brain just above the pituitary gland (a pea-sized organ at the bottom of the brain that controls other glands). Craniopharyngiomas can form from different types of brain or spinal cord cells.,0.031481671476585746,0.1085972850678733,0.2990654161586165,0.12121211692952266,0.2803738273735698,0.1626418342240688,0.5833333333333334,0.25,0.35000000000000003,0.9127527475357056,0.8579781651496887,0.8845182657241821,0.8418766856193542
Answer this question truthfully,What is (are) Tropical Spastic Paraparesis ?,"For several decades the term tropical spastic paraparesis (TSP) has been used to describe a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world and causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an important association was established between the human retrovirus  human T-cell lymphotrophic virus type 1 (also known as HTLV-1)  and TSP. TSP is now called HTLV-1 associated myelopathy/ tropical spastic paraparesis or HAM/TSP. The HTLV-1 retrovirus is thought to cause at least 80 percent of the cases of HAM/TSP by impairing the immune system. In addition to neurological symptoms of weakness and muscle stiffness or spasms, in rare cases individuals with HAM/TSP also exhibit uveitis (inflammation of the uveal tract of the eye), arthritis (inflammation of one or more joints), pulmonary lymphocytic alveolitis (inflammation of the lung), polymyositis (an inflammatory muscle disease), keratoconjunctivitis sicca (persistent dryness of the cornea and conjunctiva), and infectious dermatitis (inflammation of the skin). The other serious complication of HTLV-1 infection is the development of adult T-cell leukemia or lymphoma. Nervous system and blood-related complications occur only in a very small proportion of infected individuals, while most remain largely without symptoms throughout their lives.
                
The HTLV-1 virus is transmitted person-to-person via infected cells: breast-feeding by mothers who are seropositive (in other words, have high levels of virus antibodies in their blood), sharing infected needles during intravenous drug use, or having sexual relations with a seropositive partner. Less than 2 percent of HTLV-1 seropositive carriers will become HAM/TSP patients.","For several decades the term tropical spastic paraparesis (TSP) has been used to describe a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world and causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an epidemic of TSP was recognized among Haitian immigrants in the United States and in the Caribbean islands. The cause of this epidemic was determined to be infection with a human retrovirus, human T-cell lymphotropic virus type 1 (HTLV-1). In 1988, the term HTLV-1-associated myelopathy (HAM) was coined to describe the neurological disease associated with HTLV-1 infection. In 1993, the term tropical spastic paraparesis was changed to HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP) to encompass the clinical disease associated with HTLV-1 infection. The term HAM/TSP is used to describe the neurological disease in HTLV-1-infected individuals in endemic areas of the world. HAM/TSP is a chronic, slowly progressive, and debilitating",0.21873147595198558,0.2762520193861066,0.46323528957206966,0.3084832859254169,0.46323528957206966,0.3032608695652173,0.7074468085106383,0.42765273311897106,0.533066132264529,0.9164645671844482,0.8423284292221069,0.8778339624404907,0.8896884322166443
