instruction,input,output,response,BLEU,GLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,Precision,Recall,Token_F1,BERTScore_P,BERTScore_R,BERTScore_F1,SBERT_Cosine_Similarity
Answer this question truthfully,What is (are) ornithine transcarbamylase deficiency ?,"Ornithine transcarbamylase deficiency is an inherited disorder that causes ammonia to accumulate in the blood. Ammonia, which is formed when proteins are broken down in the body, is toxic if the levels become too high. The nervous system is especially sensitive to the effects of excess ammonia.  Ornithine transcarbamylase deficiency often becomes evident in the first few days of life. An infant with ornithine transcarbamylase deficiency may be lacking in energy (lethargic) or unwilling to eat, and have poorly-controlled breathing rate or body temperature. Some babies with this disorder may experience seizures or unusual body movements, or go into a coma. Complications from ornithine transcarbamylase deficiency may include developmental delay and intellectual disability. Progressive liver damage, skin lesions, and brittle hair may also be seen.  In some affected individuals, signs and symptoms of ornithine transcarbamylase may be less severe, and may not appear until later in life.","Ornithine transcarbamylase deficiency is a rare inherited disorder that affects the metabolism of amino acids (the building blocks of proteins). This disorder is caused by a deficiency of the enzyme ornithine transcarbamylase (OTC), which is necessary for the normal processing of amino acids. A deficiency of OTC can lead to a buildup of ammonia in the blood (hyperammonemia), which can cause serious neurological problems and, if untreated, can be life-threatening. Ornithine transcarbamylase deficiency is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The disorder is more common in people of Middle Eastern, Mediterranean, and Asian descent. Treatment for ornithine transcarbamylase deficiency includes dietary changes, medications, and supplements to help control the buildup of ammonia in the blood.",0.05367103329626532,0.15045592705167174,0.24175823684518788,0.0728744889783478,0.21978021486716592,0.22975657062888988,0.44594594594594594,0.39759036144578314,0.42038216560509556,0.8815574645996094,0.876287579536438,0.8789145946502686,0.8585385084152222
Answer this question truthfully,What is (are) globozoospermia ?,"Globozoospermia is a condition that affects only males. It is characterized by abnormal sperm and leads to an inability to father biological children (infertility).  Normal sperm cells have an oval-shaped head with a cap-like covering called the acrosome. The acrosome contains enzymes that break down the outer membrane of an egg cell, allowing the sperm to fertilize the egg. The sperm cells of males with globozoospermia, however, have a round head and no acrosome. The abnormal sperm are unable to fertilize an egg cell, leading to infertility.","Globozoospermia is a rare condition in which the sperm have an abnormal shape. Normally, sperm have an oval shape with a head, midpiece, and tail. In globozoospermia, the sperm have a round head with no midpiece or tail. This condition is usually caused by a genetic mutation. It can be inherited or it can occur spontaneously. Globozoospermia is associated with infertility.",0.05703382332851868,0.14102564102564102,0.37894736348808866,0.13333332850480129,0.3578947319091413,0.17707500373815976,0.5352112676056338,0.3838383838383838,0.44705882352941173,0.9066314697265625,0.8744778633117676,0.8902644515037537,0.8806419968605042
Answer this question truthfully,What is (are) hypochondrogenesis ?,"Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis.  Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not harden (ossify) properly. The face appears flat and oval-shaped, with widely spaced eyes, a small chin, and, in some cases, an opening in the roof of the mouth called a cleft palate. Individuals with hypochondrogenesis have an enlarged abdomen and may have a condition called hydrops fetalis in which excess fluid builds up in the body before birth.  As a result of these serious health problems, some affected fetuses do not survive to term. Infants born with hypochondrogenesis usually die at birth or shortly thereafter from respiratory failure. Babies who live past the newborn period are usually reclassified as having spondyloepiphyseal dysplasia congenita, a related but milder disorder that similarly affects bone development.","Hypochondrogenesis is a rare genetic disorder that affects the development of cartilage and bone. It is characterized by short stature, shortened limbs, and abnormalities of the spine, ribs, and pelvis. The condition is caused by mutations in the COL2A1 gene and is inherited in an autosomal recessive manner. Treatment is supportive and may include physical therapy, bracing, and surgery to correct skeletal abnormalities.",0.008072551491056065,0.08933002481389578,0.27058823124152254,0.10619468628396912,0.27058823124152254,0.12412598739129352,0.6164383561643836,0.22167487684729065,0.32608695652173914,0.8800579905509949,0.8362727165222168,0.857606828212738,0.6737868785858154
Answer this question truthfully,What is (are) Macular Degeneration ?,"Macular degeneration, or age-related macular degeneration (AMD), is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp, central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.     AMD affects the macula, the part of the eye that allows you to see fine detail. It does not hurt, but it causes cells in the macula to die. There are two types: wet and dry. Wet AMD happens when abnormal blood vessels grow under the macula. These new blood vessels often leak blood and fluid. Wet AMD damages the macula quickly. Blurred vision is a common early symptom. Dry AMD happens when the light-sensitive cells in the macula slowly break down. Your gradually lose your central vision. A common early symptom is that straight lines appear crooked.    Regular comprehensive eye exams can detect macular degeneration before the disease causes vision loss. Treatment can slow vision loss. It does not restore vision.    NIH: National Eye Institute","Macular degeneration is a disease that damages the macula, a small spot near the center of the retina and the part of the eye needed for sharp, central vision, which lets us see objects that are straight ahead. When the macula does not send clear information to the brain, central vision can become blurry.
                
Macular degeneration affects the ability to see fine details, such as the ability to read or drive. It does not cause complete blindness, but it can make everyday activities difficult.
                
There are two types of macular degeneration: dry and wet. Dry macular degeneration is more common and usually progresses more slowly. Wet macular degeneration is less common but more severe.
                
Macular degeneration is a leading cause of vision loss in Americans 60 years of age and older.
                
Macular degeneration is not contagious. It is not a result of aging, but it becomes more common as people get older.
                
Macular degeneration is not a cureable disease. However, treatments can slow its progression.
                
Macular degeneration is not a reversible disease. However, treatments can slow its progression.",0.14722010111479633,0.2456359102244389,0.48076922577662723,0.22972972473064293,0.461538456545858,0.3520345882851479,0.5297029702970297,0.5431472081218274,0.5363408521303258,0.8558483123779297,0.880691647529602,0.8680922985076904,0.8298287987709045
Answer this question truthfully,What is (are) familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis is a disorder in which the immune system produces too many activated immune cells (lymphocytes) called T cells, natural killer cells, B cells, and macrophages (histiocytes). Excessive amounts of immune system proteins called cytokines are also produced. This overactivation of the immune system causes fever and damages the liver and spleen, resulting in enlargement of these organs.  Familial hemophagocytic lymphohistiocytosis also destroys blood-producing cells in the bone marrow, a process called hemophagocytosis. As a result, affected individuals have low numbers of red blood cells (anemia) and a reduction in the number of blood cells involved in clotting (platelets). A reduction in platelets may cause easy bruising and abnormal bleeding.  The brain may also be affected in familial hemophagocytic lymphohistiocytosis. As a result, affected individuals may experience irritability, delayed closure of the bones of the skull in infants, neck stiffness, abnormal muscle tone, impaired muscle coordination, paralysis, blindness, seizures, and coma. In addition to neurological problems, familial hemophagocytic lymphohistiocytosis can cause abnormalities of the heart, kidneys, and other organs and tissues. Affected individuals also have an increased risk of developing cancers of blood-forming cells (leukemia and lymphoma).  Signs and symptoms of familial hemophagocytic lymphohistiocytosis usually become apparent during infancy, although occasionally they appear later in life. They usually occur when the immune system launches an exaggerated response to an infection, but may also occur in the absence of infection. Without treatment, most people with familial hemophagocytic lymphohistiocytosis survive only a few months.","Familial hemophagocytic lymphohistiocytosis (FHL) is a rare, inherited disorder that causes the immune system to become overactive. This overactivity leads to the destruction of red blood cells, white blood cells, and platelets, which can cause anemia, low white blood cell count (neutropenia), and low platelet count (thrombocytopenia). FHL is caused by mutations in the UNC13D, PRF1, or STX11 genes. It is inherited in an autosomal recessive manner. Treatment is focused on reducing the overactivity of the immune system.",0.005603308461782817,0.07591623036649214,0.23529411362024225,0.07586206519833551,0.19607842734573247,0.11298745714838847,0.5979381443298969,0.2013888888888889,0.3012987012987013,0.8584516048431396,0.8412257432937622,0.849751353263855,0.6708490252494812
Answer this question truthfully,What is (are) X-linked adrenoleukodystrophy ?,"X-linked adrenoleukodystrophy is a genetic disorder that occurs primarily in males. It mainly affects the nervous system and the adrenal glands, which are small glands located on top of each kidney. In this disorder, the fatty covering (myelin) that insulates nerves in the brain and spinal cord is prone to deterioration (demyelination), which reduces the ability of the nerves to relay information to the brain. In addition, damage to the outer layer of the adrenal glands (adrenal cortex) causes a shortage of certain hormones (adrenocortical insufficiency). Adrenocortical insufficiency may cause weakness, weight loss, skin changes, vomiting, and coma.  There are three distinct types of X-linked adrenoleukodystrophy: a childhood cerebral form, an adrenomyeloneuropathy type, and a form called Addison disease only.  Children with the cerebral form of X-linked adrenoleukodystrophy experience learning and behavioral problems that usually begin between the ages of 4 and 10. Over time the symptoms worsen, and these children may have difficulty reading, writing, understanding speech, and comprehending written material. Additional signs and symptoms of the cerebral form include aggressive behavior, vision problems, difficulty swallowing, poor coordination, and impaired adrenal gland function. The rate at which this disorder progresses is variable but can be extremely rapid, often leading to total disability within a few years. The life expectancy of individuals with this type depends on the severity of the signs and symptoms and how quickly the disorder progresses. Individuals with the cerebral form of X-linked adrenoleukodystrophy usually survive only a few years after symptoms begin but may survive longer with intensive medical support.  Signs and symptoms of the adrenomyeloneuropathy type appear between early adulthood and middle age. Affected individuals develop progressive stiffness and weakness in their legs (paraparesis), experience urinary and genital tract disorders, and often show changes in behavior and thinking ability. Most people with the adrenomyeloneuropathy type also have adrenocortical insufficiency. In some severely affected individuals, damage to the brain and nervous system can lead to early death.  People with X-linked adrenoleukodystrophy whose only symptom is adrenocortical insufficiency are said to have the Addison disease only form. In these individuals, adrenocortical insufficiency can begin anytime between childhood and adulthood. However, most affected individuals develop the additional features of the adrenomyeloneuropathy type by the time they reach middle age. The life expectancy of individuals with this form depends on the severity of the signs and symptoms, but typically this is the mildest of the three types.  Rarely, individuals with X-linked adrenoleukodystrophy develop multiple features of the disorder in adolescence or early adulthood. In addition to adrenocortical insufficiency, these individuals usually have psychiatric disorders and a loss of intellectual function (dementia). It is unclear whether these individuals have a distinct form of the condition or a variation of one of the previously described types.  For reasons that are unclear, different forms of X-linked adrenoleukodystrophy can be seen in affected individuals within the same family.","X-linked adrenoleukodystrophy (X-ALD) is a rare, inherited disorder that affects the nervous system and adrenal glands. The disorder is caused by a mutation in the ABCD1 gene, which provides instructions for making a protein called ALDP. This protein is found in the membrane of cells that produce myelin, a fatty substance that forms a protective covering around nerve cells. The ALDP protein is also found in the membrane of cells that produce adrenal hormones.  In X-ALD, the mutation in the ABCD1 gene prevents the ALDP protein from functioning properly. As a result, myelin is not produced or maintained properly, and the fatty acids that are normally transported by the ALDP protein build up in the body. The buildup of fatty acids damages the myelin sheaths surrounding nerve cells, leading to the signs and symptoms of X-ALD.  X-ALD is inherited in an X-linked recessive pattern. The disorder affects males almost exclusively, because they have only one X chromosome. Females who inherit a mutated copy of the ABCD1 gene from one parent are carriers of",0.013939594856848274,0.06685236768802229,0.2228915620795834,0.0720720680947328,0.21084336930849915,0.10878191415724095,0.546875,0.19444444444444445,0.28688524590163933,0.8448707461357117,0.8156493902206421,0.830003023147583,0.7223032712936401
Answer this question truthfully,What is (are) adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,"Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons) covered by a substance called myelin that insulates and protects them. The axons extend from nerve cells (neurons) and transmit nerve impulses throughout the body. Areas of damage to this brain tissue (white matter lesions) can be seen with magnetic resonance imaging (MRI). Another feature of ALSP is swellings called spheroids in the axons of the brain, which are a sign of axon damage. Also common in ALSP are abnormally pigmented glial cells. Glial cells are specialized brain cells that protect and maintain neurons. Damage to myelin and neurons is thought to contribute to many of the neurological signs and symptoms in people with ALSP.  Symptoms of ALSP usually begin in a person's forties and worsen over time. Personality changes, including depression and a loss of social inhibitions, are among the earliest symptoms of ALSP. Affected individuals may develop memory loss and loss of executive function, which is the ability to plan and implement actions and develop problem-solving strategies. Loss of this function impairs skills such as impulse control, self-monitoring, and focusing attention appropriately. Some people with ALSP have mild seizures, usually only when the condition begins. As ALSP progresses, it causes a severe decline in thinking and reasoning abilities (dementia).  Over time, motor skills are affected, and people with ALSP may have difficulty walking. Many develop a pattern of movement abnormalities known as parkinsonism, which includes unusually slow movement (bradykinesia), involuntary trembling (tremor), and muscle stiffness (rigidity). The pattern of cognitive and motor problems are variable, even among individuals in the same family, although almost all affected individuals ultimately become unable to walk, speak, and care for themselves.  ALSP was previously thought to be two separate conditions, hereditary diffuse leukoencephalopathy with spheroids (HDLS) and familial pigmentary orthochromatic leukodystrophy (POLD), both of which cause very similar white matter damage and cognitive and movement problems. POLD was thought to be distinguished by the presence of pigmented glial cells and an absence of spheroids; however, people with HDLS can have pigmented cells, too, and people with POLD can have spheroids. HDLS and POLD are now considered to be part of the same disease spectrum, which researchers have recommended calling ALSP.","Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSPG) is a rare, inherited, neurodegenerative disorder that affects the brain and spinal cord. The disease is characterized by the presence of spheroid bodies (clumps of protein) in the axons (nerve fibers) of the brain and spinal cord, and the accumulation of pigmented glial cells (cells that support and protect nerve cells). The disease typically begins in adulthood, with symptoms such as progressive weakness, stiffness, and spasticity in the legs, difficulty walking, and problems with balance and coordination. Other symptoms may include cognitive decline, behavioral changes, and seizures. The disease is caused by mutations in the SPG11 gene and is inherited in an autosomal dominant manner. There is no cure for ALSPG, and treatment is focused on managing symptoms.",0.016106021436148272,0.08870116156282999,0.23151125001809333,0.08130080936182184,0.21864951368368818,0.11088001688778856,0.7039473684210527,0.22526315789473683,0.34130781499202556,0.8800897002220154,0.8400696516036987,0.8596141934394836,0.8031246662139893
Answer this question truthfully,What is (are) hypomyelination and congenital cataract ?,"Hypomyelination and congenital cataract is an inherited condition that affects the nervous system and the eyes. This disease is one of a group of genetic disorders called leukoencephalopathies. Leukoencephalopathies involve abnormalities of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses. Hypomyelination and congenital cataract is caused by a reduced ability to form myelin (hypomyelination). Additionally, people with this disorder are typically born with a clouding of the lens (cataract) in both eyes.  People with this condition usually have normal development throughout the first year of life. Development slows around the age of 1. Most affected children learn to walk between the ages of 1 and 2, although they usually need some type of support. Over time they experience muscle weakness and wasting (atrophy) in their legs, and many affected people eventually require wheelchair assistance. Weakness in the muscles of the trunk and a progressive abnormal curvature of the spine (scoliosis) further impair walking in some individuals. Most people with hypomyelination and congenital cataract have reduced sensation in their arms and legs (peripheral neuropathy). In addition, affected individuals typically have speech difficulties (dysarthria) and mild to moderate intellectual disability.","Hypomyelination and congenital cataract is a rare genetic disorder characterized by the absence or underdevelopment of the myelin sheath (hypomyelination) in the brain and spinal cord, and the presence of cataracts at birth. The myelin sheath is a fatty substance that surrounds nerve cells and helps them transmit signals. The absence or underdevelopment of the myelin sheath can cause a variety of neurological problems, including muscle weakness, difficulty walking, and intellectual disability. Cataracts are cloudy areas in the lens of the eye that prevent light from passing through and can cause vision problems. The severity of the symptoms associated with hypomyelination and congenital cataract can vary widely among affected individuals. Some people may have only mild neurological problems, while others may have severe intellectual disability and require lifelong care. Hypomyelination and congenital cataract is caused by mutations in the ELOVL4 gene and is inherited in an autosomal recessive manner. Treatment is focused on managing the symptoms of the condition.",0.09356502446669421,0.16,0.30172413303842155,0.09815950436072138,0.26724137441773194,0.23816608333011052,0.5402298850574713,0.39330543933054396,0.45520581113801456,0.8887313008308411,0.86944580078125,0.8789828419685364,0.8747196197509766
Answer this question truthfully,What is (are) Craniopharyngioma ?,"A craniopharyngioma is a slow-growing benign tumor that develops near the pituitary gland (a small endocrine gland at the base of the brain) and the hypothalamus (a small cone-shaped organ connected to the pituitary gland by nerves). This tumor most commonly affects children between 5 and 10 years of age; however, adults can sometimes be affected. Craniopharyngiomas are thought to arise from remnants of the craniopharyngeal duct and/or Rathke cleft or from metaplasia (abnormal transformation of cells) of squamous epithelial cell remnants of the stomadeum.[orphanet] Craniopharyngioma is treated with surgery alone or by surgery followed by radiation.","Craniopharyngioma is a rare, slow-growing brain tumor that usually occurs in the region of the pituitary gland and the hypothalamus. It is a benign tumor, but it can cause serious problems by pressing on nearby structures in the brain. Craniopharyngiomas are most common in children and young adults. They are more common in males than in females.",0.01850254909626135,0.11085972850678733,0.3448275814982165,0.1249999953481869,0.3103448228775268,0.16415483870967737,0.5238095238095238,0.29464285714285715,0.3771428571428572,0.9092810750007629,0.856891393661499,0.8823092579841614,0.8722797632217407
Answer this question truthfully,What is (are) Tropical Spastic Paraparesis ?,"For several decades the term tropical spastic paraparesis (TSP) has been used to describe a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world and causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an important association was established between the human retrovirus  human T-cell lymphotrophic virus type 1 (also known as HTLV-1)  and TSP. TSP is now called HTLV-1 associated myelopathy/ tropical spastic paraparesis or HAM/TSP. The HTLV-1 retrovirus is thought to cause at least 80 percent of the cases of HAM/TSP by impairing the immune system. In addition to neurological symptoms of weakness and muscle stiffness or spasms, in rare cases individuals with HAM/TSP also exhibit uveitis (inflammation of the uveal tract of the eye), arthritis (inflammation of one or more joints), pulmonary lymphocytic alveolitis (inflammation of the lung), polymyositis (an inflammatory muscle disease), keratoconjunctivitis sicca (persistent dryness of the cornea and conjunctiva), and infectious dermatitis (inflammation of the skin). The other serious complication of HTLV-1 infection is the development of adult T-cell leukemia or lymphoma. Nervous system and blood-related complications occur only in a very small proportion of infected individuals, while most remain largely without symptoms throughout their lives.
                
The HTLV-1 virus is transmitted person-to-person via infected cells: breast-feeding by mothers who are seropositive (in other words, have high levels of virus antibodies in their blood), sharing infected needles during intravenous drug use, or having sexual relations with a seropositive partner. Less than 2 percent of HTLV-1 seropositive carriers will become HAM/TSP patients.","Tropical spastic paraparesis (TSP) is a neurological disorder that affects the lower limbs. It is caused by a viral infection of the central nervous system. The virus that causes TSP is called the JC virus. TSP is also known as progressive multifocal leukoencephalopathy (PML). TSP is most common in tropical and subtropical regions. It is rare in the United States. TSP is more common in men than in women. TSP is a slowly progressive disorder. It usually begins with weakness in the legs. The weakness may be accompanied by stiffness, spasticity, and difficulty walking. The weakness and stiffness may spread to the arms and upper body. Other symptoms of TSP may include numbness, tingling, and pain in the legs. TSP is a chronic disorder. There is no cure for TSP. Treatment is aimed at relieving symptoms and improving quality of life.",0.008269800569232988,0.09854604200323101,0.281368816891382,0.05804748894758495,0.2737642541537395,0.15988093145892557,0.5426829268292683,0.2861736334405145,0.37473684210526315,0.8669986724853516,0.7964556217193604,0.8302313685417175,0.6966177225112915
