instruction,input,output,response,BLEU,GLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,Precision,Recall,Token_F1,BERTScore_P,BERTScore_R,BERTScore_F1,SBERT_Cosine_Similarity
Answer this question truthfully,What is (are) ornithine transcarbamylase deficiency ?,"Ornithine transcarbamylase deficiency is an inherited disorder that causes ammonia to accumulate in the blood. Ammonia, which is formed when proteins are broken down in the body, is toxic if the levels become too high. The nervous system is especially sensitive to the effects of excess ammonia.  Ornithine transcarbamylase deficiency often becomes evident in the first few days of life. An infant with ornithine transcarbamylase deficiency may be lacking in energy (lethargic) or unwilling to eat, and have poorly-controlled breathing rate or body temperature. Some babies with this disorder may experience seizures or unusual body movements, or go into a coma. Complications from ornithine transcarbamylase deficiency may include developmental delay and intellectual disability. Progressive liver damage, skin lesions, and brittle hair may also be seen.  In some affected individuals, signs and symptoms of ornithine transcarbamylase may be less severe, and may not appear until later in life.","A urea cycle disorder in which the enzyme ornithine transcarbamylase (OTC) is lacking, thereby altering the urea cycle (the process that removes excess nitrogen from the body), resulting in increased levels of ammonia in the blood (hypertyramineemia). This may cause brain damage or liver failure, or may develop slowly enough that an individual may not show signs and symptoms until adulthood. In some individuals, OTC deficiency may be associated with intellectual disabilities and hyperactivity. The most common mutation causing OTC deficiency in the United States is the S483L mutation; in Europe, the N317K mutation is most common. OTC deficiency may be diagnosed prenatally in families when there is a known family history of OTC deficiency, or when fetal DNA testing can be done when a fetus is at risk of developing this disorder. It can also be diagnosed in infants and children by the presence of clinical features such as hyperammonemia, seizures, vomiting, and low levels of urea in the blood.",0.025083882852993036,0.15289256198347106,0.334928224666102,0.0771929774665439,0.26794257873308763,0.23860268903810267,0.453551912568306,0.5,0.47564469914040114,0.8515866994857788,0.8642706871032715,0.8578818440437317,0.7338237762451172
Answer this question truthfully,What is (are) globozoospermia ?,"Globozoospermia is a condition that affects only males. It is characterized by abnormal sperm and leads to an inability to father biological children (infertility).  Normal sperm cells have an oval-shaped head with a cap-like covering called the acrosome. The acrosome contains enzymes that break down the outer membrane of an egg cell, allowing the sperm to fertilize the egg. The sperm cells of males with globozoospermia, however, have a round head and no acrosome. The abnormal sperm are unable to fertilize an egg cell, leading to infertility.","Globozoospermia is a genetic condition, it causes men to have oval-shaped or round-headed sperm. This leads to difficulty in fertilizing an egg.",0.0033498945262946827,0.05641025641025641,0.27027026620525935,0.07920791749828464,0.24324323917823232,0.09165804002760523,0.64,0.16161616161616163,0.25806451612903225,0.9304450750350952,0.8681333065032959,0.8982097506523132,0.8810606598854065
Answer this question truthfully,What is (are) hypochondrogenesis ?,"Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis.  Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not harden (ossify) properly. The face appears flat and oval-shaped, with widely spaced eyes, a small chin, and, in some cases, an opening in the roof of the mouth called a cleft palate. Individuals with hypochondrogenesis have an enlarged abdomen and may have a condition called hydrops fetalis in which excess fluid builds up in the body before birth.  As a result of these serious health problems, some affected fetuses do not survive to term. Infants born with hypochondrogenesis usually die at birth or shortly thereafter from respiratory failure. Babies who live past the newborn period are usually reclassified as having spondyloepiphyseal dysplasia congenita, a related but milder disorder that similarly affects bone development.","Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis. Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not.",0.15893602936031614,0.36600496277915634,0.5301204780316447,0.5158371002444667,0.5301204780316447,0.2874101768808085,1.0,0.37438423645320196,0.5448028673835126,0.9801629185676575,0.8779820203781128,0.9262629151344299,0.799699068069458
Answer this question truthfully,What is (are) Macular Degeneration ?,"Macular degeneration, or age-related macular degeneration (AMD), is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp, central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.     AMD affects the macula, the part of the eye that allows you to see fine detail. It does not hurt, but it causes cells in the macula to die. There are two types: wet and dry. Wet AMD happens when abnormal blood vessels grow under the macula. These new blood vessels often leak blood and fluid. Wet AMD damages the macula quickly. Blurred vision is a common early symptom. Dry AMD happens when the light-sensitive cells in the macula slowly break down. Your gradually lose your central vision. A common early symptom is that straight lines appear crooked.    Regular comprehensive eye exams can detect macular degeneration before the disease causes vision loss. Treatment can slow vision loss. It does not restore vision.    NIH: National Eye Institute","Macular degeneration is a disease that affects the macula and can severely decrease your central vision. It affects older adults, and is a leading cause of vision loss in people over 60. There are two types of macular degeneration: wet and dry.

Wet macular degeneration can cause vision loss very quickly if not treated in time. Dry macular degeneration usually progresses slowly and may not affect central vision for many years. There are things you can do to delay the progression of dry macular degeneration. While there is no cure for macular degeneration, treatment options exist to slow down the progression of the disease.

Other contexts containing the word macular degeneration
Macular Degeneration
Macular degeneration (MD, age-related macular degeneration, ARMD) is a disease that affects the macula in your eye. The macula is the small central portion of your retina, located on the back of your eye, that is responsible for your central, detailed, and sharp vision. It is the part of the retina that is sensitive to light and responsible for your ability to read, recognize faces",0.1267041063479065,0.23282442748091603,0.41176470089965406,0.16501649665065532,0.38235293619377164,0.2516021760665529,0.5202020202020202,0.5228426395939086,0.5215189873417722,0.8784282207489014,0.8661578893661499,0.8722499012947083,0.8453342914581299
Answer this question truthfully,What is (are) familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis is a disorder in which the immune system produces too many activated immune cells (lymphocytes) called T cells, natural killer cells, B cells, and macrophages (histiocytes). Excessive amounts of immune system proteins called cytokines are also produced. This overactivation of the immune system causes fever and damages the liver and spleen, resulting in enlargement of these organs.  Familial hemophagocytic lymphohistiocytosis also destroys blood-producing cells in the bone marrow, a process called hemophagocytosis. As a result, affected individuals have low numbers of red blood cells (anemia) and a reduction in the number of blood cells involved in clotting (platelets). A reduction in platelets may cause easy bruising and abnormal bleeding.  The brain may also be affected in familial hemophagocytic lymphohistiocytosis. As a result, affected individuals may experience irritability, delayed closure of the bones of the skull in infants, neck stiffness, abnormal muscle tone, impaired muscle coordination, paralysis, blindness, seizures, and coma. In addition to neurological problems, familial hemophagocytic lymphohistiocytosis can cause abnormalities of the heart, kidneys, and other organs and tissues. Affected individuals also have an increased risk of developing cancers of blood-forming cells (leukemia and lymphoma).  Signs and symptoms of familial hemophagocytic lymphohistiocytosis usually become apparent during infancy, although occasionally they appear later in life. They usually occur when the immune system launches an exaggerated response to an infection, but may also occur in the absence of infection. Without treatment, most people with familial hemophagocytic lymphohistiocytosis survive only a few months.","A condition that causes excessive immune cell activity, resulting in damage to various organs, tissues, and blood cells.
More Helpful Answer: A genetic disorder caused by mutations in genes that regulate the immune system, leading to uncontrolled immune cell activity that causes inflammation in various organs or tissues, such as the brain and heart, and an impaired blood cell count.A genetic disorder that causes excessive immune cell activity to the point of damaging various organs, tissues, and blood cells.",0.0013826738540754703,0.05148342059336824,0.17616579947810687,0.02127659219732467,0.13471502227603435,0.08571428571428572,0.5111111111111111,0.1597222222222222,0.24338624338624337,0.8652054667472839,0.7978606224060059,0.8301694989204407,0.5163716077804565
Answer this question truthfully,What is (are) X-linked adrenoleukodystrophy ?,"X-linked adrenoleukodystrophy is a genetic disorder that occurs primarily in males. It mainly affects the nervous system and the adrenal glands, which are small glands located on top of each kidney. In this disorder, the fatty covering (myelin) that insulates nerves in the brain and spinal cord is prone to deterioration (demyelination), which reduces the ability of the nerves to relay information to the brain. In addition, damage to the outer layer of the adrenal glands (adrenal cortex) causes a shortage of certain hormones (adrenocortical insufficiency). Adrenocortical insufficiency may cause weakness, weight loss, skin changes, vomiting, and coma.  There are three distinct types of X-linked adrenoleukodystrophy: a childhood cerebral form, an adrenomyeloneuropathy type, and a form called Addison disease only.  Children with the cerebral form of X-linked adrenoleukodystrophy experience learning and behavioral problems that usually begin between the ages of 4 and 10. Over time the symptoms worsen, and these children may have difficulty reading, writing, understanding speech, and comprehending written material. Additional signs and symptoms of the cerebral form include aggressive behavior, vision problems, difficulty swallowing, poor coordination, and impaired adrenal gland function. The rate at which this disorder progresses is variable but can be extremely rapid, often leading to total disability within a few years. The life expectancy of individuals with this type depends on the severity of the signs and symptoms and how quickly the disorder progresses. Individuals with the cerebral form of X-linked adrenoleukodystrophy usually survive only a few years after symptoms begin but may survive longer with intensive medical support.  Signs and symptoms of the adrenomyeloneuropathy type appear between early adulthood and middle age. Affected individuals develop progressive stiffness and weakness in their legs (paraparesis), experience urinary and genital tract disorders, and often show changes in behavior and thinking ability. Most people with the adrenomyeloneuropathy type also have adrenocortical insufficiency. In some severely affected individuals, damage to the brain and nervous system can lead to early death.  People with X-linked adrenoleukodystrophy whose only symptom is adrenocortical insufficiency are said to have the Addison disease only form. In these individuals, adrenocortical insufficiency can begin anytime between childhood and adulthood. However, most affected individuals develop the additional features of the adrenomyeloneuropathy type by the time they reach middle age. The life expectancy of individuals with this form depends on the severity of the signs and symptoms, but typically this is the mildest of the three types.  Rarely, individuals with X-linked adrenoleukodystrophy develop multiple features of the disorder in adolescence or early adulthood. In addition to adrenocortical insufficiency, these individuals usually have psychiatric disorders and a loss of intellectual function (dementia). It is unclear whether these individuals have a distinct form of the condition or a variation of one of the previously described types.  For reasons that are unclear, different forms of X-linked adrenoleukodystrophy can be seen in affected individuals within the same family.","X-linked adrenoleukodystrophy (X-ALD) is a progressive, inherited disorder of fat metabolism in which damage to the nervous system leads to demyelination in the brain and adrenal insufficiency resulting from damage to the adrenal glands. The disorder is caused by mutations (defects) in the ALDP gene, and inheritance is X-linked, which means that it is passed from the mother to her children.",0.00012809187347102052,0.03574744661095636,0.1594202872245852,0.04782608478534982,0.1594202872245852,0.0620464145393803,0.7428571428571429,0.0962962962962963,0.17049180327868851,0.8691675662994385,0.8058665990829468,0.8363209962844849,0.7049387693405151
Answer this question truthfully,What is (are) adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,"Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons) covered by a substance called myelin that insulates and protects them. The axons extend from nerve cells (neurons) and transmit nerve impulses throughout the body. Areas of damage to this brain tissue (white matter lesions) can be seen with magnetic resonance imaging (MRI). Another feature of ALSP is swellings called spheroids in the axons of the brain, which are a sign of axon damage. Also common in ALSP are abnormally pigmented glial cells. Glial cells are specialized brain cells that protect and maintain neurons. Damage to myelin and neurons is thought to contribute to many of the neurological signs and symptoms in people with ALSP.  Symptoms of ALSP usually begin in a person's forties and worsen over time. Personality changes, including depression and a loss of social inhibitions, are among the earliest symptoms of ALSP. Affected individuals may develop memory loss and loss of executive function, which is the ability to plan and implement actions and develop problem-solving strategies. Loss of this function impairs skills such as impulse control, self-monitoring, and focusing attention appropriately. Some people with ALSP have mild seizures, usually only when the condition begins. As ALSP progresses, it causes a severe decline in thinking and reasoning abilities (dementia).  Over time, motor skills are affected, and people with ALSP may have difficulty walking. Many develop a pattern of movement abnormalities known as parkinsonism, which includes unusually slow movement (bradykinesia), involuntary trembling (tremor), and muscle stiffness (rigidity). The pattern of cognitive and motor problems are variable, even among individuals in the same family, although almost all affected individuals ultimately become unable to walk, speak, and care for themselves.  ALSP was previously thought to be two separate conditions, hereditary diffuse leukoencephalopathy with spheroids (HDLS) and familial pigmentary orthochromatic leukodystrophy (POLD), both of which cause very similar white matter damage and cognitive and movement problems. POLD was thought to be distinguished by the presence of pigmented glial cells and an absence of spheroids; however, people with HDLS can have pigmented cells, too, and people with POLD can have spheroids. HDLS and POLD are now considered to be part of the same disease spectrum, which researchers have recommended calling ALSP."," A neurological condition characterized by changes to certain areas of the brain; a hallmark of this condition is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter.",6.497468177000538e-06,0.06019007391763464,0.19199999820000005,0.12345678870976987,0.19199999820000005,0.04599059466790279,1.0,0.07368421052631578,0.1372549019607843,0.9240717887878418,0.7956425547599792,0.8550615906715393,0.6953129172325134
Answer this question truthfully,What is (are) hypomyelination and congenital cataract ?,"Hypomyelination and congenital cataract is an inherited condition that affects the nervous system and the eyes. This disease is one of a group of genetic disorders called leukoencephalopathies. Leukoencephalopathies involve abnormalities of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses. Hypomyelination and congenital cataract is caused by a reduced ability to form myelin (hypomyelination). Additionally, people with this disorder are typically born with a clouding of the lens (cataract) in both eyes.  People with this condition usually have normal development throughout the first year of life. Development slows around the age of 1. Most affected children learn to walk between the ages of 1 and 2, although they usually need some type of support. Over time they experience muscle weakness and wasting (atrophy) in their legs, and many affected people eventually require wheelchair assistance. Weakness in the muscles of the trunk and a progressive abnormal curvature of the spine (scoliosis) further impair walking in some individuals. Most people with hypomyelination and congenital cataract have reduced sensation in their arms and legs (peripheral neuropathy). In addition, affected individuals typically have speech difficulties (dysarthria) and mild to moderate intellectual disability.","Hypomyelination is a condition that involves a deficiency of myelin (a fatty substance covering nerve fibers) in one or more areas of the body. Some medical conditions that affect the brain and/or spinal cord are called hypomyelinating disorders.

In this case, hypomyelination can affect the eyes by causing cataracts. A cataract is a clouding of the normally clear lens of the eye. Cataracts are common in older adults, but children can be born with cataracts as well.

Because cataracts are often a sign of aging, cataracts in children and young adults are called congenital cataracts, since they are present at birth or appear shortly thereafter.

Congenital cataracts are sometimes associated with other eye problems in children, such as retinal detachment or glaucoma. Eye problems caused by hypomyelination may not be present or may not develop right away. However, children with hypomyelination usually have other signs of the condition, such as slow development.

Treatment for hypomyelination with cataracts include early surgical removal of cataracts and careful monitoring for eye and",0.02910674318383401,0.11157894736842106,0.2798353859912954,0.06285713790432693,0.25514402796660407,0.20328214393255045,0.4385026737967914,0.34309623430962344,0.38497652582159625,0.8673505783081055,0.8523262739181519,0.859772801399231,0.8612294793128967
Answer this question truthfully,What is (are) Craniopharyngioma ?,"A craniopharyngioma is a slow-growing benign tumor that develops near the pituitary gland (a small endocrine gland at the base of the brain) and the hypothalamus (a small cone-shaped organ connected to the pituitary gland by nerves). This tumor most commonly affects children between 5 and 10 years of age; however, adults can sometimes be affected. Craniopharyngiomas are thought to arise from remnants of the craniopharyngeal duct and/or Rathke cleft or from metaplasia (abnormal transformation of cells) of squamous epithelial cell remnants of the stomadeum.[orphanet] Craniopharyngioma is treated with surgery alone or by surgery followed by radiation.",A craniopharyngioma is a rare tumor that usually forms in the center of the brain just above the pituitary gland.,0.003906011087220327,0.06108597285067873,0.22222221902222228,0.1272727244148761,0.22222221902222228,0.0769067031919521,0.6666666666666666,0.125,0.21052631578947367,0.9365227222442627,0.8379693627357483,0.884509265422821,0.8710417747497559
Answer this question truthfully,What is (are) Tropical Spastic Paraparesis ?,"For several decades the term tropical spastic paraparesis (TSP) has been used to describe a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world and causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an important association was established between the human retrovirus  human T-cell lymphotrophic virus type 1 (also known as HTLV-1)  and TSP. TSP is now called HTLV-1 associated myelopathy/ tropical spastic paraparesis or HAM/TSP. The HTLV-1 retrovirus is thought to cause at least 80 percent of the cases of HAM/TSP by impairing the immune system. In addition to neurological symptoms of weakness and muscle stiffness or spasms, in rare cases individuals with HAM/TSP also exhibit uveitis (inflammation of the uveal tract of the eye), arthritis (inflammation of one or more joints), pulmonary lymphocytic alveolitis (inflammation of the lung), polymyositis (an inflammatory muscle disease), keratoconjunctivitis sicca (persistent dryness of the cornea and conjunctiva), and infectious dermatitis (inflammation of the skin). The other serious complication of HTLV-1 infection is the development of adult T-cell leukemia or lymphoma. Nervous system and blood-related complications occur only in a very small proportion of infected individuals, while most remain largely without symptoms throughout their lives.
                
The HTLV-1 virus is transmitted person-to-person via infected cells: breast-feeding by mothers who are seropositive (in other words, have high levels of virus antibodies in their blood), sharing infected needles during intravenous drug use, or having sexual relations with a seropositive partner. Less than 2 percent of HTLV-1 seropositive carriers will become HAM/TSP patients.","Tropical spastic paraparesis (TSP) is a chronic and progressive disease of the nervous system, that affects adults living in equatorial areas of the world. TSP causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was unknown until the mid-1980s, when it was identified as a variant of human T-lymphotrophic virus (HTLV) type 1 (HTLV-1) infection.",0.020934717222020057,0.1631663974151858,0.37554584801815377,0.2371794840729783,0.35807859910985684,0.17232696373646872,0.922077922077922,0.2282958199356913,0.36597938144329895,0.9394909143447876,0.8184692859649658,0.8748143911361694,0.769440770149231
