instruction,input,output,response,BLEU,GLEU,ROUGE-1,ROUGE-2,ROUGE-L,METEOR,Precision,Recall,Token_F1,BERTScore_P,BERTScore_R,BERTScore_F1,SBERT_Cosine_Similarity
Answer this question truthfully,What is (are) ornithine transcarbamylase deficiency ?,"Ornithine transcarbamylase deficiency is an inherited disorder that causes ammonia to accumulate in the blood. Ammonia, which is formed when proteins are broken down in the body, is toxic if the levels become too high. The nervous system is especially sensitive to the effects of excess ammonia.  Ornithine transcarbamylase deficiency often becomes evident in the first few days of life. An infant with ornithine transcarbamylase deficiency may be lacking in energy (lethargic) or unwilling to eat, and have poorly-controlled breathing rate or body temperature. Some babies with this disorder may experience seizures or unusual body movements, or go into a coma. Complications from ornithine transcarbamylase deficiency may include developmental delay and intellectual disability. Progressive liver damage, skin lesions, and brittle hair may also be seen.  In some affected individuals, signs and symptoms of ornithine transcarbamylase may be less severe, and may not appear until later in life.","Ornithine transcarbamylase deficiency is a genetic disorder characterized by the body's inability to properly process certain toxins. This disorder is caused due to a lack of the enzyme ornithine transcarbamylase, which is necessary for metabolizing certain waste compounds. Symptoms can include elevated levels of ammonia in the blood, leading to a condition known as hyperammonemia. Treatment generally involves a diet low in protein and certain amino ac0ids, as well as drugs to reduce ammonia levels. 
Ornithine transcarbamylase deficiency is caused by a genetic mutation that prevents the production of the enzyme ornithine transcarbamylase. This enzyme is essential for the metabolism of certain waste compounds. The absence or reduced activity of this enzyme leads to a buildup of toxic substances in the body, causing the symptoms and health problems associated with this disorder. The root cause, therefore",0.04416193285648588,0.13677811550151975,0.25945945452388613,0.06976743687518815,0.2270270220914537,0.18765741598985342,0.40268456375838924,0.3614457831325301,0.380952380952381,0.8743298053741455,0.8688595294952393,0.8715860843658447,0.8197532892227173
Answer this question truthfully,What is (are) globozoospermia ?,"Globozoospermia is a condition that affects only males. It is characterized by abnormal sperm and leads to an inability to father biological children (infertility).  Normal sperm cells have an oval-shaped head with a cap-like covering called the acrosome. The acrosome contains enzymes that break down the outer membrane of an egg cell, allowing the sperm to fertilize the egg. The sperm cells of males with globozoospermia, however, have a round head and no acrosome. The abnormal sperm are unable to fertilize an egg cell, leading to infertility.","Globozoospermia is a condition that affects only males. It is characterized by abnormal sperm and leads to an inability to father biological children (infertility). 
Globozoospermia affects only males. It is a condition that affects only males and leads to an inability to father biological children (infertility).",0.2208622270405075,0.3,0.5866666625208891,0.43396226044855823,0.5866666625208891,0.30458383594692395,0.7222222222222222,0.3939393939393939,0.5098039215686274,0.9357299208641052,0.8683751821517944,0.9007952213287354,0.8838346600532532
Answer this question truthfully,What is (are) hypochondrogenesis ?,"Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation (ossification) in the spine and pelvis.  Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not harden (ossify) properly. The face appears flat and oval-shaped, with widely spaced eyes, a small chin, and, in some cases, an opening in the roof of the mouth called a cleft palate. Individuals with hypochondrogenesis have an enlarged abdomen and may have a condition called hydrops fetalis in which excess fluid builds up in the body before birth.  As a result of these serious health problems, some affected fetuses do not survive to term. Infants born with hypochondrogenesis usually die at birth or shortly thereafter from respiratory failure. Babies who live past the newborn period are usually reclassified as having spondyloepiphyseal dysplasia congenita, a related but milder disorder that similarly affects bone development.","Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation in the spine and pelvis. Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not.Hypochondrogenesis is a rare, severe disorder of bone growth. This condition is characterized by a small body, short limbs, and abnormal bone formation in the spine and pelvis. Affected infants have short arms and legs, a small chest with short ribs, and underdeveloped lungs. Bones in the skull develop normally, but the bones of the spine (vertebrae) and pelvis do not.
",0.3343477118875681,0.3970223325062035,0.5180722852605604,0.4954954916354193,0.5180722852605604,0.36122037605275187,0.7569444444444444,0.5369458128078818,0.6282420749279538,0.9379490613937378,0.8619219064712524,0.8983297944068909,0.8144321441650391
Answer this question truthfully,What is (are) Macular Degeneration ?,"Macular degeneration, or age-related macular degeneration (AMD), is a leading cause of vision loss in Americans 60 and older. It is a disease that destroys your sharp, central vision. You need central vision to see objects clearly and to do tasks such as reading and driving.     AMD affects the macula, the part of the eye that allows you to see fine detail. It does not hurt, but it causes cells in the macula to die. There are two types: wet and dry. Wet AMD happens when abnormal blood vessels grow under the macula. These new blood vessels often leak blood and fluid. Wet AMD damages the macula quickly. Blurred vision is a common early symptom. Dry AMD happens when the light-sensitive cells in the macula slowly break down. Your gradually lose your central vision. A common early symptom is that straight lines appear crooked.    Regular comprehensive eye exams can detect macular degeneration before the disease causes vision loss. Treatment can slow vision loss. It does not restore vision.    NIH: National Eye Institute","Macular degeneration is an age-related condition that causes a loss of central vision. It occurs when the macula, a small area in the center of the retina, degenerates. This condition is more prevalent in older adults and can lead to symptoms such as blurry or distorted vision, making it difficult to read or recognize faces.
While the exact cause of macular degeneration is not fully understood, it is known that both genetic and environmental factors can contribute to its development. Lifestyle choices such as smoking, and diet, as well as exposure to sunlight, are thought to play a role in the development of this eye condition.
There are two main types of age-related macular degeneration:
1. Wet macular degeneration: In this form, new, abnormal blood vessels grow under the retina and are prone to leakage, which causes more severe vision loss.
2. Dry macular degeneration: This is the more common form, wherein the cells in the macula slowly break down as a person ages, but unlike wet macular degeneration, this form does not involve the sudden",0.10044938451938593,0.19592875318066158,0.4343891352740526,0.14420062197698544,0.39819004025142807,0.32670196092702014,0.48484848484848486,0.4873096446700508,0.48607594936708864,0.8757216930389404,0.8741738796234131,0.8749471306800842,0.797113835811615
Answer this question truthfully,What is (are) familial hemophagocytic lymphohistiocytosis ?,"Familial hemophagocytic lymphohistiocytosis is a disorder in which the immune system produces too many activated immune cells (lymphocytes) called T cells, natural killer cells, B cells, and macrophages (histiocytes). Excessive amounts of immune system proteins called cytokines are also produced. This overactivation of the immune system causes fever and damages the liver and spleen, resulting in enlargement of these organs.  Familial hemophagocytic lymphohistiocytosis also destroys blood-producing cells in the bone marrow, a process called hemophagocytosis. As a result, affected individuals have low numbers of red blood cells (anemia) and a reduction in the number of blood cells involved in clotting (platelets). A reduction in platelets may cause easy bruising and abnormal bleeding.  The brain may also be affected in familial hemophagocytic lymphohistiocytosis. As a result, affected individuals may experience irritability, delayed closure of the bones of the skull in infants, neck stiffness, abnormal muscle tone, impaired muscle coordination, paralysis, blindness, seizures, and coma. In addition to neurological problems, familial hemophagocytic lymphohistiocytosis can cause abnormalities of the heart, kidneys, and other organs and tissues. Affected individuals also have an increased risk of developing cancers of blood-forming cells (leukemia and lymphoma).  Signs and symptoms of familial hemophagocytic lymphohistiocytosis usually become apparent during infancy, although occasionally they appear later in life. They usually occur when the immune system launches an exaggerated response to an infection, but may also occur in the absence of infection. Without treatment, most people with familial hemophagocytic lymphohistiocytosis survive only a few months.","Familial hemophagocytic lymphohistiocytosis is a rare inherited disorder that affects the body's immune system. It causes severe inflammation, or a ""cytokine storm,"" and causes the body to attack its own cells and tissues, leading to potential serious damage of various organs and systems. This condition can lead to a range of symptoms, from mild to severe, including fever, rash, enlarged spleen and liver, and neurological impairment. The condition can be fatal if not promptly and properly treated. The exact cause of familial hemophagocytic lymphohistiocytosis remains largely unknown but is likely a combination of genetics, environmental factors, and the individual's immune system response.",0.021332127847801523,0.07591623036649214,0.21524663227814766,0.0507936465072314,0.19730941254720596,0.13603448519600733,0.5289256198347108,0.2222222222222222,0.31295843520782396,0.8857826590538025,0.8603290319442749,0.8728703260421753,0.7493721842765808
Answer this question truthfully,What is (are) X-linked adrenoleukodystrophy ?,"X-linked adrenoleukodystrophy is a genetic disorder that occurs primarily in males. It mainly affects the nervous system and the adrenal glands, which are small glands located on top of each kidney. In this disorder, the fatty covering (myelin) that insulates nerves in the brain and spinal cord is prone to deterioration (demyelination), which reduces the ability of the nerves to relay information to the brain. In addition, damage to the outer layer of the adrenal glands (adrenal cortex) causes a shortage of certain hormones (adrenocortical insufficiency). Adrenocortical insufficiency may cause weakness, weight loss, skin changes, vomiting, and coma.  There are three distinct types of X-linked adrenoleukodystrophy: a childhood cerebral form, an adrenomyeloneuropathy type, and a form called Addison disease only.  Children with the cerebral form of X-linked adrenoleukodystrophy experience learning and behavioral problems that usually begin between the ages of 4 and 10. Over time the symptoms worsen, and these children may have difficulty reading, writing, understanding speech, and comprehending written material. Additional signs and symptoms of the cerebral form include aggressive behavior, vision problems, difficulty swallowing, poor coordination, and impaired adrenal gland function. The rate at which this disorder progresses is variable but can be extremely rapid, often leading to total disability within a few years. The life expectancy of individuals with this type depends on the severity of the signs and symptoms and how quickly the disorder progresses. Individuals with the cerebral form of X-linked adrenoleukodystrophy usually survive only a few years after symptoms begin but may survive longer with intensive medical support.  Signs and symptoms of the adrenomyeloneuropathy type appear between early adulthood and middle age. Affected individuals develop progressive stiffness and weakness in their legs (paraparesis), experience urinary and genital tract disorders, and often show changes in behavior and thinking ability. Most people with the adrenomyeloneuropathy type also have adrenocortical insufficiency. In some severely affected individuals, damage to the brain and nervous system can lead to early death.  People with X-linked adrenoleukodystrophy whose only symptom is adrenocortical insufficiency are said to have the Addison disease only form. In these individuals, adrenocortical insufficiency can begin anytime between childhood and adulthood. However, most affected individuals develop the additional features of the adrenomyeloneuropathy type by the time they reach middle age. The life expectancy of individuals with this form depends on the severity of the signs and symptoms, but typically this is the mildest of the three types.  Rarely, individuals with X-linked adrenoleukodystrophy develop multiple features of the disorder in adolescence or early adulthood. In addition to adrenocortical insufficiency, these individuals usually have psychiatric disorders and a loss of intellectual function (dementia). It is unclear whether these individuals have a distinct form of the condition or a variation of one of the previously described types.  For reasons that are unclear, different forms of X-linked adrenoleukodystrophy can be seen in affected individuals within the same family.","X-linked adrenoleukodystrophy is a genetic disorder that affects the nervous system and leads to the buildup of certain fats in the body. The condition is X-linked, which means it is associated with a gene located on the X chromosome.
In X-linked adrenoleukodystrophy, the body is unable to break down very long-chain fatty acids properly. This leads to an accumulation of these fats in the tissues and organs over time.
Patients with this condition often present with symptoms like seizures, progressive muscle weakness and dementia. It's also worth mentioning that the condition tends to be more severe in males due to their possession of a single X chromosome.
The progression of the disease can lead to life-threatening complications, particularly for the respiratory system and the nervous system. Treatment options typically focus on managing symptoms, although there is currently no cure available. Genetic counseling might be recommended for potentially affected family members.",0.013524913592025423,0.07056638811513463,0.25519287407091723,0.08088234910095445,0.23738871976824671,0.1092344361017501,0.6242424242424243,0.19074074074074074,0.29219858156028367,0.8717144727706909,0.8273904323577881,0.8489742875099182,0.8358880281448364
Answer this question truthfully,What is (are) adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,"Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons) covered by a substance called myelin that insulates and protects them. The axons extend from nerve cells (neurons) and transmit nerve impulses throughout the body. Areas of damage to this brain tissue (white matter lesions) can be seen with magnetic resonance imaging (MRI). Another feature of ALSP is swellings called spheroids in the axons of the brain, which are a sign of axon damage. Also common in ALSP are abnormally pigmented glial cells. Glial cells are specialized brain cells that protect and maintain neurons. Damage to myelin and neurons is thought to contribute to many of the neurological signs and symptoms in people with ALSP.  Symptoms of ALSP usually begin in a person's forties and worsen over time. Personality changes, including depression and a loss of social inhibitions, are among the earliest symptoms of ALSP. Affected individuals may develop memory loss and loss of executive function, which is the ability to plan and implement actions and develop problem-solving strategies. Loss of this function impairs skills such as impulse control, self-monitoring, and focusing attention appropriately. Some people with ALSP have mild seizures, usually only when the condition begins. As ALSP progresses, it causes a severe decline in thinking and reasoning abilities (dementia).  Over time, motor skills are affected, and people with ALSP may have difficulty walking. Many develop a pattern of movement abnormalities known as parkinsonism, which includes unusually slow movement (bradykinesia), involuntary trembling (tremor), and muscle stiffness (rigidity). The pattern of cognitive and motor problems are variable, even among individuals in the same family, although almost all affected individuals ultimately become unable to walk, speak, and care for themselves.  ALSP was previously thought to be two separate conditions, hereditary diffuse leukoencephalopathy with spheroids (HDLS) and familial pigmentary orthochromatic leukodystrophy (POLD), both of which cause very similar white matter damage and cognitive and movement problems. POLD was thought to be distinguished by the presence of pigmented glial cells and an absence of spheroids; however, people with HDLS can have pigmented cells, too, and people with POLD can have spheroids. HDLS and POLD are now considered to be part of the same disease spectrum, which researchers have recommended calling ALSP.","Adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP) is a neurological condition characterized by changes to certain areas of the brain. A hallmark of ALSP is leukoencephalopathy, which is the alteration of a type of brain tissue called white matter. White matter consists of nerve fibers (axons)
In adult-onset leukoencephalopathy with axonal spheroids and pigmented glia (ALSP), the hallmark symptom and affected area of the brain is leukoencephalopathy. This condition specifically affects the white matter, which consists of nerve fibers or axons within the brain. Leukoencephalopathy is a major characteristic of ALSP, signifying an alteration or dysfunction within the white matter regions of the brain.",0.030051196634748558,0.14149947201689547,0.28873239107443965,0.20390455225243628,0.2746478840321861,0.13261987967249672,0.8181818181818182,0.20842105263157895,0.33221476510067116,0.9155212044715881,0.8316607475280762,0.8715784549713135,0.9320972561836243
Answer this question truthfully,What is (are) hypomyelination and congenital cataract ?,"Hypomyelination and congenital cataract is an inherited condition that affects the nervous system and the eyes. This disease is one of a group of genetic disorders called leukoencephalopathies. Leukoencephalopathies involve abnormalities of the brain's white matter. White matter consists of nerve fibers covered by a fatty substance called myelin. Myelin insulates nerve fibers and promotes the rapid transmission of nerve impulses. Hypomyelination and congenital cataract is caused by a reduced ability to form myelin (hypomyelination). Additionally, people with this disorder are typically born with a clouding of the lens (cataract) in both eyes.  People with this condition usually have normal development throughout the first year of life. Development slows around the age of 1. Most affected children learn to walk between the ages of 1 and 2, although they usually need some type of support. Over time they experience muscle weakness and wasting (atrophy) in their legs, and many affected people eventually require wheelchair assistance. Weakness in the muscles of the trunk and a progressive abnormal curvature of the spine (scoliosis) further impair walking in some individuals. Most people with hypomyelination and congenital cataract have reduced sensation in their arms and legs (peripheral neuropathy). In addition, affected individuals typically have speech difficulties (dysarthria) and mild to moderate intellectual disability.","Hypomyelination and congenital cataract is an inherited condition that affects the nervous system and the eyes. It is a leukoencephalopathy involving abnormalities of the brain's white matter.
Hypomyelination is a condition where the myelin, a fatty substance that covers nerve fibers in the brain, is either partially or completely missing or abnormal. The impact of hypomyelination on the brain is significant as it results in abnormalities of the brain's white matter. This can lead to conditions like leukoencephalopathies, which are a group of genetic disorders that affect the brain's white matter. These disorders can result in a range of neurological symptoms, including cognitive disorders, movement disorders, and seizures.
Hypomyelination is genetically determined and often stems from mutations in the genes",0.11483639077564499,0.16631578947368422,0.31428570964126984,0.1866666620586668,0.3047619001174604,0.21104067343490884,0.562962962962963,0.3179916317991632,0.40641711229946526,0.9041232466697693,0.8591518402099609,0.8810640573501587,0.8878037929534912
Answer this question truthfully,What is (are) Craniopharyngioma ?,"A craniopharyngioma is a slow-growing benign tumor that develops near the pituitary gland (a small endocrine gland at the base of the brain) and the hypothalamus (a small cone-shaped organ connected to the pituitary gland by nerves). This tumor most commonly affects children between 5 and 10 years of age; however, adults can sometimes be affected. Craniopharyngiomas are thought to arise from remnants of the craniopharyngeal duct and/or Rathke cleft or from metaplasia (abnormal transformation of cells) of squamous epithelial cell remnants of the stomadeum.[orphanet] Craniopharyngioma is treated with surgery alone or by surgery followed by radiation.","Craniopharyngiomas are rare tumors that typically form in the center of the brain just above the pituitary gland.

",0.0005278364985118596,0.04072398190045249,0.157303367695998,0.07339449265550048,0.157303367695998,0.06553878981862522,0.5789473684210527,0.09821428571428571,0.16793893129770993,0.9145682454109192,0.8305999040603638,0.8705639839172363,0.8607264757156372
Answer this question truthfully,What is (are) Tropical Spastic Paraparesis ?,"For several decades the term tropical spastic paraparesis (TSP) has been used to describe a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world and causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an important association was established between the human retrovirus  human T-cell lymphotrophic virus type 1 (also known as HTLV-1)  and TSP. TSP is now called HTLV-1 associated myelopathy/ tropical spastic paraparesis or HAM/TSP. The HTLV-1 retrovirus is thought to cause at least 80 percent of the cases of HAM/TSP by impairing the immune system. In addition to neurological symptoms of weakness and muscle stiffness or spasms, in rare cases individuals with HAM/TSP also exhibit uveitis (inflammation of the uveal tract of the eye), arthritis (inflammation of one or more joints), pulmonary lymphocytic alveolitis (inflammation of the lung), polymyositis (an inflammatory muscle disease), keratoconjunctivitis sicca (persistent dryness of the cornea and conjunctiva), and infectious dermatitis (inflammation of the skin). The other serious complication of HTLV-1 infection is the development of adult T-cell leukemia or lymphoma. Nervous system and blood-related complications occur only in a very small proportion of infected individuals, while most remain largely without symptoms throughout their lives.
                
The HTLV-1 virus is transmitted person-to-person via infected cells: breast-feeding by mothers who are seropositive (in other words, have high levels of virus antibodies in their blood), sharing infected needles during intravenous drug use, or having sexual relations with a seropositive partner. Less than 2 percent of HTLV-1 seropositive carriers will become HAM/TSP patients.","Tropical Spastic Paraparesis is a chronic and progressive disease of the nervous system that affects adults living in equatorial areas of the world. It causes progressive weakness, stiff muscles, muscle spasms, sensory disturbance, and sphincter dysfunction. The cause of TSP was obscure until the mid-1980s, when an
The cause of Tropical Spastic Paraparesis (TSP) was obscure until the mid-1980s, when an (the context does not provide a specific cause).


",0.03285549133093266,0.17689822294022617,0.3348017586795785,0.2516129001839751,0.3259911859923538,0.19060163024107182,0.8658536585365854,0.2282958199356913,0.361323155216285,0.9148359298706055,0.8001890778541565,0.8536805510520935,0.6242377161979675
